STOP_WAS_INITIATED,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OTHER_PERSON_STOPPED_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_BODY_BUILD_TYPE,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_BORO_NAME,SUSPECT_ARRESTED_FLAG
3,1,5,23,5,1,1,2,2,2,1,2,,,1,1,2,2,2,1
3,1,1,5,10,1,1,1,1,1,1,2,2,,2,1,3,2,2,1
3,1,1,3,20,1,1,2,2,2,2,2,2,,2,1,3,2,2,2
3,1,1,22,20,2,2,2,1,1,1,2,2,2,2,1,3,1,2,2
3,1,1,22,20,2,2,2,1,1,2,2,2,2,2,1,3,1,2,2
3,1,1,22,20,2,2,2,1,1,2,2,2,2,2,1,3,1,2,2
3,1,1,22,20,2,2,2,1,1,1,2,2,2,2,1,3,1,2,2
3,,1,1,3,1,1,1,1,1,1,2,,,1,2,3,2,2,1
3,1,1,3,4,1,1,1,1,1,1,,2,,1,4,1,3,2,1
1,,1,19,10,1,1,1,2,2,1,2,,,2,1,2,4,2,1
1,1,1,3,5,1,2,1,1,1,1,2,2,,2,1,,2,2,2
3,,1,26,5,1,1,1,1,1,1,2,2,,2,1,2,2,2,1
3,1,1,5,3,1,1,2,1,,1,2,2,,2,1,3,4,2,2
3,2,1,23,20,1,1,1,1,1,1,2,2,,2,1,3,2,2,1
3,,1,4,10,1,1,2,2,2,1,2,2,,2,1,3,2,2,1
1,,1,19,9,1,1,1,2,2,1,2,2,,2,1,3,2,2,1
3,1,1,14,6,1,2,2,1,2,1,2,2,2,2,4,3,3,2,2
3,1,1,26,3,1,1,1,1,1,1,2,2,,2,1,3,2,2,1
3,,1,3,5,1,1,2,1,1,1,2,2,2,2,1,3,1,2,2
3,,2,1,7,1,2,2,,,2,2,2,2,2,1,,2,2,2
1,2,1,1,15,1,1,2,1,1,2,2,,2,2,1,3,3,2,2
3,,2,,5,1,2,1,2,2,1,2,2,,2,1,2,4,2,1
3,,1,23,5,2,1,1,1,1,1,2,2,,2,1,3,4,2,1
3,,1,23,5,2,1,1,1,1,1,2,2,,2,1,3,4,2,1
3,4,1,23,5,2,1,1,1,1,1,2,2,,2,1,3,4,2,1
3,4,1,23,5,2,1,1,1,1,1,2,2,,2,1,3,4,2,1
3,1,1,19,4,1,1,1,1,2,1,2,,,1,4,2,1,2,1
3,,1,16,1,1,1,1,1,1,1,2,,,2,1,3,4,2,1
3,1,0,,33,2,2,2,2,2,1,2,2,2,2,1,3,1,2,2
3,,0,,32,2,2,2,1,1,1,2,2,,2,1,2,1,2,1
3,1,1,3,18,2,2,2,2,2,1,,,2,2,1,3,4,2,1
1,1,2,1,7,2,1,1,1,1,1,2,,,2,1,3,3,2,1
1,1,2,1,7,2,1,1,1,1,1,2,,,2,1,3,3,2,1
2,4,1,26,2,2,2,2,1,1,2,2,,2,2,1,3,1,2,2
1,,2,3,5,2,2,1,1,,1,2,,,2,1,3,2,2,1
3,,2,3,5,2,2,1,1,,1,2,,,2,1,2,2,2,1
3,,1,23,8,2,1,1,1,1,1,2,2,,1,1,3,3,2,1
3,,1,23,8,2,1,1,1,1,1,2,2,,1,1,3,3,2,1
2,1,120,,10,2,2,2,2,2,1,2,,,2,2,2,2,2,1
3,,1,23,6,1,2,2,1,1,1,,2,,2,4,3,3,2,1
1,2,0,1,15,2,1,1,1,1,1,2,,,2,4,1,1,2,1
3,1,1,26,10,1,1,1,1,1,1,2,,,1,4,3,4,2,1
3,1,1,23,2,1,2,2,2,2,1,2,2,,2,1,2,3,2,2
1,,1,1,4,1,2,1,2,2,1,2,2,,2,4,2,4,2,2
3,2,2,23,15,2,1,2,1,,1,2,,2,2,4,2,3,2,2
3,2,2,23,15,2,1,2,1,,1,2,,2,2,4,2,3,2,2
3,1,1,,10,1,2,2,1,1,2,2,2,2,2,4,2,2,2,2
3,1,1,1,2,1,1,1,1,1,1,2,2,,2,1,2,2,2,1
3,1,1,15,1,2,1,1,1,1,1,2,,,2,4,2,2,2,1
3,1,1,15,1,2,1,1,1,1,1,2,,,2,4,3,2,2,1
2,1,1,,3,1,2,2,1,1,2,,,,2,4,1,2,2,2
3,1,1,1,10,1,1,1,1,1,1,2,,,2,4,2,3,2,1
3,1,1,12,10,1,1,2,1,,1,2,,2,2,1,2,1,2,2
1,1,1,5,25,1,1,1,1,1,1,2,2,,2,1,1,3,2,1
1,,1,1,4,2,1,1,1,1,1,2,2,,2,4,2,4,2,2
3,1,10,6,5,2,1,1,1,1,1,2,2,,2,4,1,2,2,1
3,,1,13,8,1,2,1,1,1,1,2,2,,2,1,3,3,2,1
1,1,1,1,10,1,2,2,1,1,1,,2,,2,1,3,2,2,1
3,,2,3,5,1,1,2,2,2,1,2,2,,2,4,3,1,2,2
3,1,0,23,20,2,2,1,1,1,1,2,2,,2,4,1,3,2,1
3,1,0,23,20,2,2,1,1,1,1,2,2,,2,4,2,3,2,1
3,1,0,23,20,2,2,1,1,1,1,2,2,,2,4,2,3,2,1
3,,1,18,4,1,2,1,1,1,1,2,2,,2,3,2,2,2,2
3,1,1,3,5,2,1,2,1,1,1,2,,2,2,2,3,1,2,2
3,1,1,3,5,2,1,2,1,1,1,2,,2,2,2,3,1,2,2
3,,1,1,5,2,2,1,1,1,1,2,,,2,3,1,4,2,2
3,,1,1,5,2,2,1,1,1,1,2,,,1,3,3,4,2,2
3,1,1,23,5,2,1,1,1,1,1,2,2,,2,4,3,3,2,1
3,1,1,23,5,2,1,1,1,2,1,2,2,,2,4,3,3,2,1
3,1,1,23,5,2,1,1,1,1,1,2,2,,2,4,3,3,2,1
1,2,0,12,15,1,1,1,1,1,1,,,,2,4,3,2,2,1
3,,2,1,15,1,1,2,1,1,1,2,,2,2,5,2,3,2,2
3,,1,23,5,2,1,1,1,1,1,2,2,,2,2,2,3,2,1
3,,1,23,5,2,1,1,1,1,1,2,2,,2,5,3,3,2,1
2,,1,13,2,1,1,1,1,1,1,,,,2,5,3,4,2,1
3,1,1,16,4,1,1,2,1,2,1,2,,,2,4,3,3,2,1
3,,1,23,10,1,2,1,2,2,1,2,2,,2,3,3,3,2,1
3,1,1,,3,1,2,1,1,1,1,2,,,1,4,2,2,2,1
2,2,1,23,9,2,2,2,1,1,1,2,,2,2,3,3,4,2,2
2,,1,23,9,2,2,2,1,1,1,2,,2,2,3,3,4,2,2
2,,1,23,9,2,2,2,1,1,1,2,,2,2,3,3,4,2,2
1,,1,1,5,2,1,1,1,1,1,2,,,2,4,2,2,2,1
3,1,1,3,10,2,2,2,1,1,1,2,2,,2,5,3,4,2,1
3,1,1,3,4,2,2,1,1,1,1,2,,,2,5,2,4,2,1
3,,1,3,4,2,1,1,1,1,1,2,,,2,5,2,4,2,1
3,1,1,3,10,1,2,1,1,1,1,2,,,2,5,3,4,2,1
3,,1,23,15,1,2,2,1,1,1,2,,2,2,4,1,4,2,2
2,,1,8,40,2,2,1,1,1,1,2,,,2,4,3,3,2,1
2,1,1,8,40,2,1,1,1,1,1,2,,,1,4,3,3,2,1
2,,1,8,40,2,2,2,1,1,1,2,,,2,3,2,3,2,1
2,1,1,23,3,1,1,2,2,2,1,2,2,2,2,4,3,4,2,2
3,,0,19,3,2,1,1,2,2,1,2,,,2,4,2,1,2,1
3,,0,23,2,1,1,2,1,,1,2,2,2,2,1,2,2,2,2
3,1,1,23,8,1,2,1,1,1,2,2,2,,2,1,2,3,2,2
2,3,1,,7,1,2,2,1,1,2,2,,,2,1,3,2,2,2
1,3,1,1,5,1,2,1,1,1,1,2,2,,2,1,2,3,2,2
2,1,3,9,2,1,2,2,2,2,1,2,,,2,1,2,4,2,1
3,,1,,5,1,2,2,1,2,1,2,,2,2,1,2,1,2,1
2,1,1,14,30,2,2,2,1,2,1,,,,2,1,2,,2,1
2,1,1,14,30,2,2,2,1,2,1,,,,2,1,3,3,2,1
2,1,1,14,30,2,2,2,1,2,1,,,,2,1,3,3,2,1
2,1,1,14,30,2,2,2,1,2,1,2,,2,2,1,2,3,2,1
2,,2,,5,2,2,1,1,1,1,2,,,2,1,3,2,2,1
2,,2,,5,2,2,1,1,1,1,2,,,2,1,3,2,2,1
2,1,2,4,10,1,1,2,1,2,1,2,,,2,1,3,2,2,1
3,,1,13,1,1,2,1,2,2,1,2,2,,2,1,2,4,2,1
3,,1,,20,1,2,2,1,1,1,2,,,2,1,2,2,2,1
2,,1,,5,2,2,1,1,1,1,2,,,2,1,1,4,2,1
2,1,1,14,8,2,2,1,1,1,1,2,,,2,1,1,4,2,1
2,1,1,14,8,2,2,1,1,1,1,2,,,2,1,2,4,2,1
2,3,1,,3,1,2,2,2,2,1,2,,,2,1,3,2,2,1
2,,2,,5,2,2,1,1,2,1,2,,,2,1,2,4,2,1
2,1,2,,5,2,2,1,1,1,1,2,,,1,1,3,4,2,1
2,1,2,,5,2,2,1,1,1,1,2,,,2,1,2,4,2,1
2,2,1,,1,1,2,2,1,1,2,2,,,2,1,3,1,2,2
3,2,1,,1,1,2,2,1,1,2,2,,,2,4,2,1,2,1
2,1,2,,3,1,2,1,1,,1,2,,,2,1,3,4,2,1
2,1,1,,5,2,2,1,1,1,1,,,,2,1,3,1,2,1
3,1,1,16,5,1,1,1,1,1,1,2,,,2,1,3,2,2,1
2,1,1,8,3,2,2,1,1,2,1,2,,,2,1,3,2,2,1
2,1,0,26,8,2,2,1,1,1,1,2,,,2,1,3,1,2,1
2,1,0,26,8,2,2,1,1,,1,2,,,2,1,3,1,2,1
2,,1,8,3,2,2,1,1,,1,2,,,2,1,3,2,2,1
3,1,0,23,5,1,2,1,1,1,1,,2,,1,1,1,3,2,1
3,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2
3,,0,,2,1,2,1,1,1,1,2,,,2,4,3,1,2,1
2,,0,,16,1,2,2,1,,1,2,,,2,1,2,4,2,1
3,3,1,,10,1,1,1,1,1,1,2,,,2,1,2,1,2,1
3,2,3,1,10,1,2,1,2,2,1,2,2,,2,1,2,1,2,1
3,3,1,,15,1,2,1,1,1,1,2,,,2,1,3,3,2,1
3,,1,1,5,1,2,1,1,,1,2,,,2,1,1,1,2,2
2,,1,,5,2,1,1,2,2,1,2,,,1,1,3,2,2,1
2,,1,,5,2,2,1,2,2,1,2,,,2,1,3,2,2,1
3,,1,3,5,1,2,2,1,,2,2,2,,2,1,2,1,2,1
3,1,1,1,10,1,1,2,1,1,1,2,2,2,2,1,3,2,2,2
3,,1,,5,2,2,2,1,,1,2,2,2,2,1,2,1,2,2
1,1,1,,1,1,2,2,1,1,2,2,2,,2,1,1,2,2,2
2,3,0,,1,1,2,1,1,2,1,2,2,,2,1,3,,2,1
2,1,1,,10,1,2,1,1,,1,2,,,2,1,2,4,2,1
3,,0,1,2,1,1,1,1,1,1,2,,,2,1,2,1,2,1
3,1,1,13,6,2,2,1,1,1,1,2,2,,2,1,3,2,2,2
3,,1,13,6,2,2,1,1,1,1,2,2,,2,1,3,2,2,2
3,,1,13,6,2,2,1,1,1,1,2,2,,2,1,3,2,2,2
2,,1,,4,1,2,1,1,1,1,2,2,,2,1,1,4,2,1
2,,1,,3,1,2,1,1,1,1,2,,,2,1,2,4,2,1
3,1,1,,10,1,2,2,2,2,2,2,2,,2,1,3,3,2,2
2,1,1,,1,1,2,1,1,1,1,2,2,,2,1,3,4,2,1
3,2,1,12,15,1,1,1,1,1,1,2,,,2,4,2,1,2,2
3,,0,,4,1,2,1,1,,1,2,,,2,1,3,2,2,1
3,1,1,1,1,1,2,1,2,2,1,2,2,,2,1,3,2,2,1
1,1,1,,12,1,2,2,1,2,2,2,,,2,1,1,2,2,1
2,1,1,23,6,1,2,2,1,1,1,2,,,2,1,2,3,2,1
2,3,1,11,19,2,2,1,1,1,1,2,,,1,1,2,3,2,1
3,1,3,14,10,1,1,2,1,1,1,,,2,2,1,2,2,2,1
3,1,1,,6,1,2,2,2,2,1,2,2,,2,1,2,2,2,1
2,,1,,10,1,2,2,1,1,1,2,,,2,1,2,2,2,1
3,,1,26,2,1,1,1,1,1,1,2,,,2,1,2,1,2,1
3,3,2,1,2,1,2,2,1,1,1,2,,2,2,2,2,3,2,2
3,1,0,19,2,2,1,2,2,2,1,2,,,1,1,3,2,2,1
1,,1,,4,1,2,1,2,2,1,2,,,1,4,1,3,2,1
3,1,0,,2,1,2,1,2,2,1,2,,,2,1,3,4,2,1
3,,1,,12,1,2,2,1,1,1,2,,,2,1,3,3,2,1
3,,1,23,5,2,2,2,1,2,1,2,,2,2,1,4,1,2,1
3,1,1,5,5,1,1,1,1,,1,2,2,,2,2,3,4,2,1
3,1,30,3,4,1,2,1,2,2,1,2,2,,2,1,2,2,2,1
1,1,5,3,5,2,2,1,2,2,1,,,,2,1,1,3,2,1
1,1,5,3,5,2,2,1,2,2,1,,,,2,1,2,3,2,1
2,,1,23,2,1,1,1,1,,1,2,2,,2,1,3,2,2,1
3,,1,3,35,2,2,1,1,1,1,,,,2,1,3,3,2,1
3,,1,3,30,2,1,1,1,1,1,,,,2,1,2,3,2,1
2,2,5,13,15,1,1,1,1,,1,2,,,2,4,2,2,2,1
2,1,1,14,10,1,2,1,1,1,1,2,,,2,1,2,4,2,1
2,,1,,5,2,2,1,1,,1,2,,,2,1,3,4,2,1
3,1,1,,1,2,2,1,1,1,1,2,2,,2,1,2,4,2,1
3,1,1,,1,2,2,1,1,1,1,2,2,,2,1,2,4,2,1
3,,0,1,5,1,1,1,1,,1,2,2,,2,1,2,3,2,1
1,,1,23,1,1,1,1,1,1,1,2,2,,2,1,3,4,2,1
3,1,1,,3,1,2,1,1,,1,2,,,2,1,3,4,2,1
2,,0,26,10,1,2,1,1,1,1,2,,,2,1,3,2,2,1
2,,1,,7,1,2,1,1,,2,2,,,2,1,3,4,2,1
2,,1,,15,2,2,1,1,1,1,2,,,2,1,2,2,2,1
3,,1,,15,2,2,1,2,2,1,2,,,2,1,2,2,2,1
3,,1,23,7,2,1,1,1,1,1,2,2,,2,1,3,4,2,1
3,1,0,4,8,1,2,1,2,2,1,2,2,,2,4,4,3,2,1
2,,0,,5,1,2,1,1,1,1,2,,,2,4,3,4,2,1
2,,45,3,10,1,2,2,2,2,1,2,,,2,1,2,4,2,1
2,1,2,26,20,1,2,2,2,2,1,2,,2,2,1,2,2,2,2
2,1,1,,5,1,2,1,1,,2,2,,,2,1,3,2,2,1
2,1,1,,5,2,2,1,1,,1,2,,,2,1,3,4,2,1
2,,1,,2,1,2,1,1,1,1,2,,,2,4,1,4,2,1
3,1,1,,3,2,2,1,1,1,1,2,2,,2,1,1,1,2,1
3,,1,2,10,1,2,1,2,2,1,2,,,2,4,1,2,2,1
2,1,1,,6,2,2,1,1,1,1,2,,,2,1,2,4,2,1
2,1,1,,6,2,2,1,1,1,1,2,,,2,1,3,4,2,1
2,,1,,5,1,2,1,1,1,1,2,,,2,1,2,2,2,1
2,1,0,,10,1,2,1,1,1,1,2,,,2,1,2,2,2,1
3,,0,,10,1,2,2,2,2,2,2,2,,2,1,2,1,2,2
2,,1,,5,1,2,1,2,2,1,2,,,2,1,2,4,2,1
3,1,0,,5,1,2,1,2,2,1,2,,,2,1,3,3,2,1
3,1,1,,2,1,2,1,1,1,1,2,,,2,4,2,1,2,1
3,,2,1,5,1,1,1,1,1,1,2,,,2,4,2,1,2,1
2,,0,,5,1,2,1,1,1,1,2,,,2,1,1,4,2,1
3,1,0,,24,2,2,1,2,2,1,2,,,2,1,2,2,2,1
3,1,0,3,4,1,1,1,1,1,1,2,,,2,1,2,3,2,1
3,1,1,,2,2,2,1,1,1,1,2,2,,2,1,3,2,2,1
3,1,1,,2,2,2,1,1,1,1,2,2,,2,1,2,2,2,1
2,,0,,5,1,2,1,,,1,2,,,2,1,2,4,2,1
2,,0,26,10,2,2,1,2,2,1,2,2,,2,1,1,3,2,1
2,,0,26,10,2,2,1,2,2,1,2,2,,2,1,2,3,2,1
2,,1,,5,2,2,1,1,1,1,2,,,2,1,2,3,2,1
2,,1,,5,2,2,1,1,1,1,2,,,2,1,2,3,2,1
2,,0,26,10,2,2,1,1,1,1,2,,,2,1,3,4,2,1
2,1,0,,5,2,2,1,1,1,1,2,,,2,1,3,2,2,1
2,,0,26,10,2,2,1,1,1,1,2,,,2,3,3,4,2,1
2,1,0,,5,2,2,1,1,1,1,2,,,2,1,2,2,2,1
2,,1,,2,1,2,2,1,,2,2,,,2,1,2,4,2,1
3,,1,23,3,1,1,1,1,1,1,2,,,2,1,2,4,2,1
3,,0,3,30,2,2,2,1,1,1,2,2,2,2,1,3,2,2,2
3,,0,3,30,2,2,2,1,1,1,2,2,2,1,1,3,2,2,2
3,,0,3,30,2,2,1,1,1,1,2,2,,2,1,2,2,2,1
2,1,1,,5,1,2,1,1,1,1,2,,,,1,3,2,2,1
3,1,1,,10,1,2,1,1,1,1,2,,,2,1,4,4,2,1
2,2,2,,7,1,2,1,1,1,1,2,,,2,4,3,1,2,1
2,1,1,,25,1,2,2,1,1,1,2,,,2,1,4,4,2,2
1,1,1,,8,1,2,2,1,2,1,2,2,2,2,1,3,2,2,1
2,,1,19,5,1,2,1,1,1,1,2,,,1,2,3,2,2,1
2,,1,,5,1,1,1,1,1,2,2,,,2,1,2,4,2,1
1,1,0,26,10,1,1,1,1,1,1,2,,,2,1,3,4,2,1
2,,1,14,9,1,2,1,1,1,1,2,,,2,1,3,2,2,1
1,1,100,19,150,1,1,1,1,2,1,2,,,2,1,3,3,2,1
2,3,2,,1,1,1,1,1,,1,2,,,2,1,3,2,2,1
2,,0,,15,2,2,1,1,1,1,2,,,2,1,1,2,2,1
3,3,0,,5,1,2,1,2,2,1,2,,,2,1,3,3,2,1
3,3,1,1,3,1,2,1,1,2,1,2,2,,2,1,3,4,2,1
2,,1,,2,1,2,1,1,,1,2,,,2,1,2,3,2,1
3,1,0,3,5,2,2,1,,1,1,2,2,,2,4,2,1,2,1
2,1,0,1,12,2,2,2,2,2,1,2,2,,2,4,2,3,2,1
3,1,1,26,5,1,1,1,1,1,1,2,,,2,,2,1,2,1
2,,1,,2,1,2,2,1,1,1,2,,,2,1,1,2,2,1
3,1,1,,5,1,2,2,1,1,1,2,,,2,1,2,2,2,1
3,,1,,2,1,2,1,1,,1,2,,,2,3,3,2,2,1
2,1,2,23,9,1,2,2,1,1,1,2,,,2,3,2,2,2,1
2,,2,4,4,1,1,1,1,1,1,,,,2,1,3,3,2,1
3,1,0,3,5,2,2,1,1,1,1,2,2,,2,4,2,1,2,1
2,,0,26,10,2,2,1,2,2,1,2,,,2,4,2,1,2,1
3,,1,,1,1,1,1,1,1,1,,2,,2,1,4,1,2,2
3,1,1,,8,1,2,2,1,1,1,2,,2,2,1,3,1,2,2
3,,1,19,11,2,2,2,1,1,1,2,,,2,1,3,2,2,1
3,,1,19,11,2,2,1,1,,1,2,,,2,1,2,2,2,1
2,1,1,,1,1,2,1,1,1,1,2,,,2,4,3,2,2,1
3,,1,23,5,1,2,2,1,1,2,2,2,,2,3,3,1,2,1
2,,1,,5,1,2,1,2,,1,2,,,2,4,1,2,2,1
3,1,2,23,5,1,1,1,1,1,1,2,2,,1,1,3,4,2,1
3,1,1,1,18,2,1,1,1,1,1,2,2,,2,1,3,1,2,2
3,1,1,1,18,2,1,1,1,1,1,2,2,,2,1,1,1,2,2
2,1,1,,5,2,2,2,1,,2,2,,,2,1,3,2,2,2
2,1,1,,5,2,2,2,2,2,1,2,,,2,1,3,2,2,2
2,1,1,,5,2,2,2,2,2,1,2,,,2,1,3,2,2,2
3,,0,26,20,1,1,1,1,1,1,,,,2,1,2,3,2,1
2,1,1,14,30,2,1,1,,,1,2,,,2,4,,3,2,1
2,1,1,14,30,2,1,1,,,1,2,,,2,4,3,3,2,1
2,1,1,,20,2,2,2,1,1,1,,,,2,4,2,3,2,1
3,1,1,26,5,1,1,1,2,2,1,2,2,,2,1,2,2,2,1
2,1,1,14,30,2,1,1,1,1,1,2,,,2,3,2,3,2,1
1,3,1,,3,1,2,1,1,1,1,2,,,2,1,4,2,2,1
3,,1,,15,1,2,1,2,2,1,2,,,2,1,3,2,2,1
3,,1,,30,1,2,2,1,2,1,,,,2,1,2,1,2,1
3,,2,,30,2,2,1,1,2,2,2,2,,2,1,3,1,2,1
3,1,1,23,5,2,1,1,1,1,1,2,,,2,3,4,2,2,1
3,,1,23,9,2,2,1,1,1,1,2,,,2,1,3,2,2,2
3,,1,23,9,2,2,1,1,1,1,2,2,,2,1,2,2,2,2
3,,1,,10,2,2,1,1,2,1,2,2,,2,3,2,3,2,1
3,,1,,10,2,2,1,1,2,1,2,2,,2,3,2,3,2,1
3,1,1,5,12,1,2,2,1,1,1,2,,2,2,2,2,1,2,2
2,,1,8,8,1,2,1,1,1,1,,,,2,1,3,2,2,1
1,1,2,23,3,1,2,2,1,1,1,2,,2,2,1,4,3,2,2
3,,1,23,1,1,2,2,1,1,2,2,2,2,2,1,2,3,2,2
3,,1,14,5,1,2,1,2,2,1,2,,,2,4,3,3,2,1
3,3,1,22,5,1,1,1,1,1,1,2,2,,2,1,3,2,2,1
2,3,2,,10,2,2,1,1,,1,2,2,,2,1,3,3,2,1
1,3,1,26,10,1,1,1,1,1,1,2,2,,2,1,2,4,2,1
2,3,2,,10,2,2,1,1,,1,2,2,,2,1,3,3,2,1
2,3,2,,10,2,2,1,1,,1,2,2,,2,1,3,3,2,1
2,3,2,,10,2,2,1,1,,1,2,2,,2,1,3,3,2,1
3,1,0,3,15,1,2,2,2,2,1,,,2,1,1,3,2,2,1
1,,1,,12,2,2,2,2,2,1,2,,,2,1,3,1,2,1
1,1,1,,12,2,2,2,2,2,1,2,,,2,1,2,1,2,1
2,,1,,8,1,2,1,1,1,1,2,,,2,1,2,2,2,1
3,3,2,3,25,1,2,2,2,2,1,2,,,2,1,1,3,2,1
2,,1,,1,1,2,2,1,1,2,2,,,2,1,3,2,2,2
3,2,0,11,8,1,1,1,,2,1,2,2,,2,1,3,2,2,1
3,,0,23,5,1,1,1,1,1,1,2,,,2,4,3,2,2,1
2,1,1,,1,1,2,1,1,1,1,2,,,2,1,2,4,2,1
3,1,1,14,30,1,2,1,1,1,1,2,2,,2,1,2,4,2,1
3,1,2,,10,1,2,1,1,1,1,2,,,2,5,3,2,2,1
3,1,1,,4,1,2,2,1,1,2,2,,,2,1,1,2,2,1
2,,1,,1,1,2,2,1,1,2,2,,,2,1,3,4,2,2
2,1,1,,1,1,2,2,1,1,2,,,,2,1,3,4,2,1
3,,1,23,5,1,1,1,1,1,1,2,,,2,1,3,2,2,1
1,3,5,23,10,1,1,1,1,1,1,2,,,2,1,1,3,2,1
3,1,1,,5,1,2,1,1,1,1,2,,,2,1,2,2,2,1
3,1,1,,3,1,1,2,2,2,1,2,,,2,1,3,3,2,1
3,,2,26,5,1,1,1,,,1,2,,,2,1,2,5,2,1
3,,2,3,10,1,2,1,2,2,1,2,,,2,1,2,2,2,1
3,3,1,1,5,2,1,1,1,1,1,2,2,,1,1,2,4,2,1
3,3,1,1,5,2,1,1,1,1,1,2,2,,1,1,3,4,2,1
2,3,3,11,5,1,2,1,1,,1,2,2,,2,1,3,2,2,1
2,1,1,26,22,1,1,2,1,,2,2,,2,2,4,2,2,2,2
3,3,1,19,8,1,2,1,1,1,1,2,2,,2,3,2,4,2,2
3,2,1,13,4,2,2,1,1,1,1,2,2,,2,1,3,4,2,2
2,3,1,26,5,1,1,2,1,1,1,,,2,2,1,2,2,2,2
2,3,1,11,20,1,1,2,1,1,1,2,,2,2,1,3,4,2,2
3,3,1,11,15,1,1,2,1,1,1,2,,2,2,1,3,4,2,2
2,1,2,6,15,2,1,2,1,2,1,2,2,,2,2,1,4,2,1
3,1,1,3,11,1,2,2,2,2,1,2,2,,2,2,1,3,2,1
2,,15,3,10,2,1,1,1,1,1,2,,,2,1,3,1,2,1
1,1,1,16,5,2,2,2,2,2,2,2,,,2,1,2,3,2,2
2,,2,19,15,1,1,1,1,,1,2,,,1,2,2,1,2,1
3,1,1,19,20,1,1,1,1,,1,2,2,,1,2,3,1,2,1
2,,1,26,4,2,1,2,2,2,1,2,,,1,4,1,4,2,1
2,,1,26,4,2,1,2,2,2,1,2,,,2,1,3,4,2,1
3,1,0,1,1,1,1,1,1,,1,2,2,,2,4,3,2,2,2
2,1,2,18,27,1,2,1,1,1,1,2,,,2,1,3,4,2,1
3,,1,3,1,2,2,1,1,,1,2,,,2,4,2,1,2,1
3,,1,3,1,2,1,1,1,,1,2,,,2,4,2,1,2,1
1,1,1,25,10,2,1,1,1,1,1,2,2,,2,1,2,2,2,1
1,1,1,25,10,2,1,1,1,1,1,2,2,,2,1,2,2,2,1
1,1,1,25,10,2,1,1,1,1,1,2,2,,2,1,2,2,2,1
3,2,2,,6,1,1,2,2,2,1,2,,,2,3,3,2,2,1
2,1,1,19,1,1,1,2,1,,1,2,,,2,1,3,4,2,2
1,1,1,19,5,1,2,2,1,1,1,2,2,2,2,4,3,3,2,2
3,1,1,19,7,1,1,2,1,,1,2,2,2,2,1,2,3,2,2
1,2,1,23,10,1,2,1,1,1,1,2,2,,2,1,3,2,2,1
3,1,1,19,22,1,2,1,1,1,1,2,2,,2,1,3,3,2,1
1,1,1,18,7,1,1,2,1,,1,2,2,2,2,2,2,1,2,2
3,3,0,1,14,1,2,2,2,2,1,2,2,,2,1,3,,2,1
3,1,2,19,4,1,1,1,1,1,1,2,,,2,1,3,3,2,1
2,,1,,3,1,2,2,1,1,1,2,2,,2,1,2,1,2,1
3,1,0,1,1,2,2,1,1,2,1,2,2,,2,1,3,2,2,1
3,1,1,1,1,1,1,1,1,1,1,2,,,2,1,1,3,2,1
3,,1,14,7,1,2,1,1,1,1,2,2,,2,1,3,4,2,1
1,1,0,13,1,2,2,2,1,1,1,2,2,2,2,1,3,3,2,2
1,1,0,13,1,2,2,2,1,1,1,2,2,2,2,1,3,3,2,2
1,1,0,13,1,2,2,2,1,1,1,2,2,2,2,1,3,3,2,1
1,1,1,5,10,1,1,1,1,,1,2,2,,2,4,3,1,2,2
3,,1,3,8,1,2,1,1,1,1,2,2,,2,1,3,4,2,2
1,,0,23,5,1,1,1,1,1,1,2,,,1,1,3,2,2,1
1,1,1,1,2,1,2,2,1,1,1,2,,2,1,1,1,4,2,2
3,,1,23,8,1,2,1,1,1,1,2,2,,2,1,2,4,2,1
3,1,1,,3,1,2,1,1,1,1,2,2,,2,1,3,3,2,1
2,1,1,,5,1,2,1,1,1,1,,,,2,1,3,4,2,1
2,,1,,10,1,2,1,1,1,1,2,,,2,1,2,4,2,1
3,1,1,3,3,1,2,1,1,1,1,2,,,2,4,2,4,2,1
3,3,1,11,15,1,1,1,1,,1,2,,,2,1,2,4,2,1
2,1,2,3,11,1,2,2,1,1,1,2,,2,2,1,3,1,2,2
2,3,2,,10,2,2,2,1,2,1,2,2,,2,1,3,3,2,1
2,3,2,,10,2,2,2,1,2,1,2,2,,2,1,2,3,2,1
1,,0,1,15,1,1,2,1,,1,2,2,2,1,1,2,4,2,2
3,,1,,5,2,2,2,1,1,1,2,2,2,2,1,3,2,2,2
3,,1,,5,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2
3,1,0,1,30,2,1,1,1,1,1,2,2,,1,1,2,3,2,1
3,1,0,1,30,2,1,1,1,1,1,2,2,,1,2,3,3,2,1
